State00,PUMA00,GEOID00,GISJOIN00,State10,PUMA10,GEOID10,GISJOIN10,State10_Name,PUMA10_Name,CPUMA00,CPUMA10,PUMA00_Pop00,PUMA10_Pop00,Part_Pop00,pPUMA00_Pop00,pPUMA10_Pop00,PUMA00_Pop10,PUMA10_Pop10,Part_Pop10,pPUMA00_Pop10,pPUMA10_Pop10,PUMA00_Land,PUMA10_Land,Part_Land,pPUMA00_Land,pPUMA10_Land,county_fips,area,climate_reg_recs
04,00111,0400111,G04000111,04,00122,0400122,G04000122,Arizona,Phoenix City--Maryvale (East),25,25,169069,109560,45614,26.98,41.63,181865,104327,44963,24.72,43.1,79773573,36895778,18112397,22.7,49.09,013,36962079.21464302,Hot-Dry & Mixed Dry
04,00111,0400111,G04000111,04,00123,0400123,G04000123,Arizona,Phoenix City--Maryvale (West),25,25,169069,94858,76010,44.96,80.13,181865,108404,84198,46.3,77.67,79773573,41622563,30958972,38.81,74.38,013,41649476.60952246,Hot-Dry & Mixed Dry
04,00111,0400111,G04000111,04,00124,0400124,G04000124,Arizona,Maricopa County--Glendale City (South),25,25,169069,90208,0,0,0,181865,100367,0,0,0,79773573,65963508,5392,0.01,0.01,013,67441548.48673302,Hot-Dry & Mixed Dry
04,00111,0400111,G04000111,04,00125,0400125,G04000125,Arizona,Phoenix City (West),25,25,169069,103937,33916,20.06,32.63,181865,101932,34644,19.05,33.99,79773573,41243856,12901645,16.17,31.28,013,41485123.31838471,Hot-Dry & Mixed Dry
04,00111,0400111,G04000111,04,00133,0400133,G04000133,Arizona,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,25,25,169069,53238,8557,5.06,16.07,181865,103989,11515,6.33,11.07,79773573,94220352,4985532,6.25,5.29,013,101072237.05673982,Hot-Dry & Mixed Dry
04,00112,0400112,G04000112,04,00114,0400114,G04000114,Arizona,Phoenix City (Northeast Central),25,25,170752,104421,14338,8.4,13.73,155562,103639,12734,8.19,12.29,71178173,62256464,6558921,9.21,10.54,013,62306783.695002735,Hot-Dry & Mixed Dry
04,00112,0400112,G04000112,04,00115,0400115,G04000115,Arizona,Phoenix City (Northwest Central),25,25,170752,105221,14346,8.4,13.63,155562,101757,13057,8.39,12.83,71178173,55882990,5187284,7.29,9.28,013,56805879.20941445,Hot-Dry & Mixed Dry
04,00112,0400112,G04000112,04,00116,0400116,G04000116,Arizona,Phoenix City (Uptown),25,25,170752,108575,101698,59.56,93.67,155562,100212,93793,60.29,93.59,71178173,44501692,41878582,58.84,94.11,013,44624122.59965941,Hot-Dry & Mixed Dry
04,00112,0400112,G04000112,04,00118,0400118,G04000118,Arizona,Phoenix City--Downtown & Sky Harbor International Airport,25,25,170752,121783,27663,16.2,22.71,155562,108714,24792,15.94,22.8,71178173,86876963,14888663,20.92,17.14,013,89870076.76597989,Hot-Dry & Mixed Dry
04,00112,0400112,G04000112,04,00122,0400122,G04000122,Arizona,Phoenix City--Maryvale (East),25,25,170752,109560,5875,3.44,5.36,155562,104327,5574,3.58,5.34,71178173,36895778,1258814,1.77,3.41,013,36962079.21464302,Hot-Dry & Mixed Dry
04,00112,0400112,G04000112,04,00125,0400125,G04000125,Arizona,Phoenix City (West),25,25,170752,103937,6832,4,6.57,155562,101932,5612,3.61,5.51,71178173,41243856,1405910,1.98,3.41,013,41485123.31838471,Hot-Dry & Mixed Dry
04,00113,0400113,G04000113,04,00109,0400109,G04000109,Arizona,Maricopa County--Tempe City (North),25,23,103984,99395,0,0,0,98693,102150,0,0,0,61466477,61294312,215662,0.35,0.35,013,63449542.28077148,Hot-Dry & Mixed Dry
04,00113,0400113,G04000113,04,00110,0400110,G04000110,Arizona,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,25,25,103984,124445,0,0,0,98693,116958,0,0,0,61466477,121899152,169690,0.28,0.14,013,122907795.72509632,Hot-Dry & Mixed Dry
04,00113,0400113,G04000113,04,00117,0400117,G04000117,Arizona,Phoenix City (East),25,25,103984,106369,102959,99.01,96.79,98693,100444,97283,98.57,96.85,61466477,61971892,60672943,98.71,97.9,013,62308487.36828293,Hot-Dry & Mixed Dry
04,00113,0400113,G04000113,04,00118,0400118,G04000118,Arizona,Phoenix City--Downtown & Sky Harbor International Airport,25,25,103984,121783,1025,0.99,0.84,98693,108714,1410,1.43,1.3,61466477,86876963,408182,0.66,0.47,013,89870076.76597989,Hot-Dry & Mixed Dry
