State,State FIPS,County FIPS,IECC Climate Zone,IECC Moisture Regime,BA Climate Zone,County Name
CA,6,115,3,B,Hot-Dry,Yuba
CO,8,1,5,B,Cold,Adams
CO,8,3,6,B,Cold,Alamosa
CO,8,5,5,B,Cold,Arapahoe
CO,8,7,6,B,Cold,Archuleta
CO,8,9,4,B,Mixed-Dry,Baca
CO,8,11,5,B,Cold,Bent
CO,8,13,5,B,Cold,Boulder
CO,8,14,5,B,Cold,Broomfield
CO,8,15,6,B,Cold,Chaffee
CO,8,17,5,B,Cold,Cheyenne
CO,8,19,7,N/A,Very Cold,Clear Creek
CO,8,21,6,B,Cold,Conejos
CO,8,23,6,B,Cold,Costilla
CO,8,25,5,B,Cold,Crowley
CO,8,27,6,B,Cold,Custer
CO,8,29,5,B,Cold,Delta
CO,8,31,5,B,Cold,Denver
CO,8,33,6,B,Cold,Dolores
CO,8,35,5,B,Cold,Douglas
CO,8,37,6,B,Cold,Eagle
CO,8,41,5,B,Cold,El Paso
CO,8,39,5,B,Cold,Elbert
CO,8,43,5,B,Cold,Fremont
CO,8,45,5,B,Cold,Garfield
CO,8,47,5,B,Cold,Gilpin
CO,8,49,7,N/A,Very Cold,Grand
CO,8,51,7,N/A,Very Cold,Gunnison
CO,8,53,7,N/A,Very Cold,Hinsdale
CO,8,55,5,B,Cold,Huerfano
CO,8,57,7,N/A,Very Cold,Jackson
CO,8,59,5,B,Cold,Jefferson
CO,8,61,5,B,Cold,Kiowa
CO,8,63,5,B,Cold,Kit Carson
CO,8,67,5,B,Cold,La Plata
CO,8,65,7,N/A,Very Cold,Lake
CO,8,69,5,B,Cold,Larimer
CO,8,71,4,B,Mixed-Dry,Las Animas
CO,8,73,5,B,Cold,Lincoln
CO,8,75,5,B,Cold,Logan
CO,8,77,5,B,Cold,Mesa
CO,8,79,7,N/A,Very Cold,Mineral
CO,8,81,6,B,Cold,Moffat
CO,8,83,5,B,Cold,Montezuma
CO,8,85,5,B,Cold,Montrose
CO,8,87,5,B,Cold,Morgan
CO,8,89,4,B,Mixed-Dry,Otero
CO,8,91,6,B,Cold,Ouray
CO,8,93,7,N/A,Very Cold,Park
CO,8,95,5,B,Cold,Phillips
CO,8,97,7,N/A,Very Cold,Pitkin
CO,8,99,5,B,Cold,Prowers
CO,8,101,5,B,Cold,Pueblo
CO,8,103,6,B,Cold,Rio Blanco
CO,8,105,7,N/A,Very Cold,Rio Grande
CO,8,107,7,N/A,Very Cold,Routt
CO,8,109,6,B,Cold,Saguache
CO,8,111,7,N/A,Very Cold,San Juan
CO,8,113,6,B,Cold,San Miguel
CO,8,115,5,B,Cold,Sedgwick
CO,8,117,7,N/A,Very Cold,Summit
CO,8,119,5,B,Cold,Teller
CO,8,121,5,B,Cold,Washington
CO,8,123,5,B,Cold,Weld
CO,8,125,5,B,Cold,Yuma
CT,9,1,5,A,Cold,Fairfield
CT,9,3,5,A,Cold,Hartford
CT,9,5,5,A,Cold,Litchfield
CT,9,7,5,A,Cold,Middlesex
CT,9,9,5,A,Cold,New Haven
CT,9,11,5,A,Cold,New London
CT,9,13,5,A,Cold,Tolland
CT,9,15,5,A,Cold,Windham
DC,11,1,4,A,Mixed-Humid,District of Columbia
DE,10,1,4,A,Mixed-Humid,Kent
DE,10,3,4,A,Mixed-Humid,New Castle
DE,10,5,4,A,Mixed-Humid,Sussex
FL,12,1,2,A,Hot-Humid,Alachua
FL,12,3,2,A,Hot-Humid,Baker
FL,12,5,2,A,Hot-Humid,Bay
FL,12,7,2,A,Hot-Humid,Bradford
FL,12,9,2,A,Hot-Humid,Brevard
FL,12,11,1,A,Hot-Humid,Broward
FL,12,13,2,A,Hot-Humid,Calhoun
FL,12,15,2,A,Hot-Humid,Charlotte
FL,12,17,2,A,Hot-Humid,Citrus
FL,12,19,2,A,Hot-Humid,Clay
FL,12,21,2,A,Hot-Humid,Collier
FL,12,23,2,A,Hot-Humid,Columbia
FL,12,27,2,A,Hot-Humid,DeSoto
FL,12,29,2,A,Hot-Humid,Dixie
FL,12,31,2,A,Hot-Humid,Duval
FL,12,33,2,A,Hot-Humid,Escambia
FL,12,35,2,A,Hot-Humid,Flagler
FL,12,37,2,A,Hot-Humid,Franklin
FL,12,39,2,A,Hot-Humid,Gadsden
FL,12,41,2,A,Hot-Humid,Gilchrist
FL,12,43,2,A,Hot-Humid,Glades
FL,12,45,2,A,Hot-Humid,Gulf
FL,12,47,2,A,Hot-Humid,Hamilton
FL,12,49,2,A,Hot-Humid,Hardee
FL,12,51,2,A,Hot-Humid,Hendry
FL,12,53,2,A,Hot-Humid,Hernando
FL,12,55,2,A,Hot-Humid,Highlands
FL,12,57,2,A,Hot-Humid,Hillsborough
FL,12,59,2,A,Hot-Humid,Holmes
FL,12,61,2,A,Hot-Humid,Indian River
FL,12,63,2,A,Hot-Humid,Jackson
FL,12,65,2,A,Hot-Humid,Jefferson
FL,12,67,2,A,Hot-Humid,Lafayette
